Year,Month,Community,Total Complaints,Total Number of Callers,data_loaded_at
2023,5,San Mateo,317,8,2023/09/01 04:13:58 PM
2022,3,Los Gatos,"6,755",43,2023/09/01 04:13:58 PM
2022,5,Santa Cruz,"13,505",73,2023/09/01 04:13:58 PM
2022,6,Palo Alto,"26,305",112,2023/09/01 04:13:58 PM
2021,8,South San Francisco,36,10,2023/09/01 04:13:58 PM
2021,9,Capitola,360,7,2023/09/01 04:13:58 PM
2021,10,Palo Alto,"29,724",132,2023/09/01 04:13:58 PM
2021,12,Portola Valley,"18,287",17,2023/09/01 04:13:58 PM
2021,12,Brisbane,115,10,2023/09/01 04:13:58 PM
2022,2,Los Gatos,"5,233",42,2023/09/01 04:13:58 PM
2022,8,Oakland,"3,779",14,2023/09/01 04:13:58 PM
2022,10,Los Altos,"10,171",53,2023/09/01 04:13:58 PM
2022,10,Foster City,367,5,2023/09/01 04:13:58 PM
2020,3,Danville,1,1,2023/09/01 04:13:58 PM
2022,6,Santa Cruz,"13,840",73,2023/09/01 04:13:58 PM
2021,10,Foster City,40,8,2023/09/01 04:13:58 PM
2022,8,Soquel,"5,894",35,2023/09/01 04:13:58 PM
2022,11,Soquel,"3,402",32,2023/09/01 04:13:58 PM
2020,12,Portola Valley,"16,140",21,2023/09/01 04:13:58 PM
2021,7,Los Altos,"10,855",61,2023/09/01 04:13:58 PM
2023,2,Portola Valley,"16,373",22,2023/09/01 04:13:58 PM
2021,9,Sunnyvale,50,3,2023/09/01 04:13:58 PM
2022,1,Portola Valley,"17,680",18,2023/09/01 04:13:58 PM
2021,2,Felton,108,4,2023/09/01 04:13:58 PM
2020,3,Menlo Park,"2,825",17,2023/09/01 04:13:58 PM
2020,2,Menlo Park,"1,817",19,2023/09/01 04:13:58 PM
2023,5,Los Gatos,"5,229",30,2023/09/01 04:13:58 PM
2023,6,Aptos,6,2,2023/09/01 04:13:58 PM
2023,6,San Jose,4,4,2023/09/01 04:13:58 PM
2021,9,Soquel,"5,073",39,2023/09/01 04:13:58 PM
2021,11,Redwood City,"1,538",8,2023/09/01 04:13:58 PM
2021,11,San Bruno,"1,674",10,2023/09/01 04:13:58 PM
2021,12,San Bruno,"1,676",6,2023/09/01 04:13:58 PM
2022,1,Daly City,"1,597",7,2023/09/01 04:13:58 PM
2022,2,Santa Cruz,"8,770",70,2023/09/01 04:13:58 PM
2022,7,Soquel,"6,526",39,2023/09/01 04:13:58 PM
2022,7,Brisbane,375,13,2023/09/01 04:13:58 PM
2022,9,Santa Cruz,"14,046",64,2023/09/01 04:13:58 PM
2022,9,Oakland,"3,632",14,2023/09/01 04:13:58 PM
2022,7,Burlingame,4,4,2023/09/01 04:13:58 PM
2022,2,San Bruno,507,5,2023/09/01 04:13:58 PM
2022,11,Palo Alto,"18,586",101,2023/09/01 04:13:58 PM
2021,5,Woodside,"1,670",6,2023/09/01 04:13:58 PM
2020,4,Capitola,524,14,2023/09/01 04:13:58 PM
2020,1,Capitola,"1,557",15,2023/09/01 04:13:58 PM
2022,7,Oakland,"3,181",14,2023/09/01 04:13:58 PM
2022,3,Walnut Creek,4,1,2023/09/01 04:13:58 PM
2023,2,Oakland,"2,912",12,2023/09/01 04:13:58 PM
2021,6,Capitola,967,10,2023/09/01 04:13:58 PM
2023,2,Woodside,"1,074",7,2023/09/01 04:13:58 PM
2021,6,Alameda,250,2,2023/09/01 04:13:58 PM
2020,2,La Selva Beach,3,1,2023/09/01 04:13:58 PM
2023,3,Redwood City,479,7,2023/09/01 04:13:58 PM
2020,11,Foster City,41,7,2023/09/01 04:13:58 PM
2023,5,Menlo Park,"1,770",12,2023/09/01 04:13:58 PM
2019,8,Castro Valley,6,1,2023/09/01 04:13:58 PM
2021,1,Oakland,"4,291",14,2023/09/01 04:13:58 PM
2021,3,Cupertino,403,2,2023/09/01 04:13:58 PM
2019,11,Montara,692,1,2023/09/01 04:13:58 PM
2020,12,Belmont,168,2,2023/09/01 04:13:58 PM
2020,12,Daly City,"1,117",4,2023/09/01 04:13:58 PM
2020,12,Oakland,"4,162",13,2023/09/01 04:13:58 PM
2021,5,San Bruno,"1,664",8,2023/09/01 04:13:58 PM
2021,4,Ben Lomond,2,1,2023/09/01 04:13:58 PM
2021,8,San Bruno,969,8,2023/09/01 04:13:58 PM
2021,8,San Carlos,88,2,2023/09/01 04:13:58 PM
2020,1,Watsonville,172,1,2023/09/01 04:13:58 PM
2020,3,Carmel Valley,102,2,2023/09/01 04:13:58 PM
2020,7,San Bruno,148,6,2023/09/01 04:13:58 PM
2020,9,Moraga,300,5,2023/09/01 04:13:58 PM
2020,9,Capitola,631,12,2023/09/01 04:13:58 PM
2020,11,San Carlos,130,2,2023/09/01 04:13:58 PM
2023,2,San Bruno,298,8,2023/09/01 04:13:58 PM
2023,6,Oakland,"3,625",8,2023/09/01 04:13:58 PM
2021,9,Los Altos Hills,"1,670",16,2023/09/01 04:13:58 PM
2022,5,Millbrae,36,7,2023/09/01 04:13:58 PM
2022,3,Hayward,1,1,2023/09/01 04:13:58 PM
2021,5,Mountain View,"2,243",25,2023/09/01 04:13:58 PM
2020,5,Felton,245,6,2023/09/01 04:13:58 PM
2020,6,Aptos,23,3,2023/09/01 04:13:58 PM
2020,6,Redwood City,532,8,2023/09/01 04:13:58 PM
2020,6,Foster City,127,9,2023/09/01 04:13:58 PM
2023,4,Redwood City,242,5,2023/09/01 04:13:58 PM
2023,4,Aptos,6,2,2023/09/01 04:13:58 PM
2022,4,Felton,158,3,2023/09/01 04:13:58 PM
2022,4,Capitola,126,5,2023/09/01 04:13:58 PM
2022,4,Burlingame,5,4,2023/09/01 04:13:58 PM
2022,5,Aptos,38,3,2023/09/01 04:13:58 PM
2022,5,Menlo Park,"1,958",12,2023/09/01 04:13:58 PM
2022,6,Moraga,403,3,2023/09/01 04:13:58 PM
2021,12,Fremont,249,1,2023/09/01 04:13:58 PM
2022,1,Fremont,130,1,2023/09/01 04:13:58 PM
2022,1,Boulder Creek,14,2,2023/09/01 04:13:58 PM
2022,2,Oakland,"2,895",13,2023/09/01 04:13:58 PM
2022,2,Millbrae,14,5,2023/09/01 04:13:58 PM
2022,11,Felton,79,3,2023/09/01 04:13:58 PM
2022,12,Capitola,134,4,2023/09/01 04:13:58 PM
2022,5,Half Moon,7,1,2023/09/01 04:13:58 PM
2022,10,Daly City,"1,743",8,2023/09/01 04:13:58 PM
2022,5,Fremont,221,1,2023/09/01 04:13:58 PM
2022,12,Burlingame,2,2,2023/09/01 04:13:58 PM
2019,10,Fremont,94,1,2023/09/01 04:13:58 PM
2021,1,San Carlos,107,3,2023/09/01 04:13:58 PM
2019,8,Orinda,27,2,2023/09/01 04:13:58 PM
2021,2,Stanford,414,4,2023/09/01 04:13:58 PM
2021,2,Millbrae,4,3,2023/09/01 04:13:58 PM
2021,1,Orinda,5,1,2023/09/01 04:13:58 PM
2020,2,El Granada,"1,256",2,2023/09/01 04:13:58 PM
2020,4,San Carlos,35,3,2023/09/01 04:13:58 PM
2020,8,Sunnyvale,69,4,2023/09/01 04:13:58 PM
2023,1,Redwood City,901,5,2023/09/01 04:13:58 PM
2023,4,Lafayette,5,1,2023/09/01 04:13:58 PM
2022,10,Watsonville,69,1,2023/09/01 04:13:58 PM
2020,6,La Honda,6,1,2023/09/01 04:13:58 PM
2023,1,Burlingame,15,2,2023/09/01 04:13:58 PM
2023,1,Orinda,29,2,2023/09/01 04:13:58 PM
2023,3,Montara,315,2,2023/09/01 04:13:58 PM
2022,5,Sunnyvale,9,3,2023/09/01 04:13:58 PM
2021,11,South San Francisco,35,7,2023/09/01 04:13:58 PM
2022,7,Capitola,343,6,2023/09/01 04:13:58 PM
2022,10,Fremont,252,1,2023/09/01 04:13:58 PM
2022,11,Brisbane,373,10,2023/09/01 04:13:58 PM
2019,8,Emerald Hills,"6,806",7,2023/09/01 04:13:58 PM
2020,12,Montara,135,1,2023/09/01 04:13:58 PM
2019,10,Belmont,253,3,2023/09/01 04:13:58 PM
2021,5,Gilroy,3,1,2023/09/01 04:13:58 PM
2020,1,Morgan Hill,16,2,2023/09/01 04:13:58 PM
2023,2,Millbrae,12,4,2023/09/01 04:13:58 PM
2023,4,Orinda,64,1,2023/09/01 04:13:58 PM
2022,4,Atherton,12,2,2023/09/01 04:13:58 PM
2021,1,Lafayette,3,2,2023/09/01 04:13:58 PM
2021,6,Hillsborough,1,1,2023/09/01 04:13:58 PM
2020,5,Belmont,44,1,2023/09/01 04:13:58 PM
2020,8,Montara,217,1,2023/09/01 04:13:58 PM
2020,10,Castro Valley,1,1,2023/09/01 04:13:58 PM
2022,4,Watsonville,81,1,2023/09/01 04:13:58 PM
2022,5,Felton,119,3,2023/09/01 04:13:58 PM
2023,6,Mill Valley,1,1,2023/09/01 04:13:58 PM
2021,9,Foster City,17,2,2023/09/01 04:13:58 PM
2022,7,Ben Lomond,4,2,2023/09/01 04:13:58 PM
2022,9,Ben Lomond,3,1,2023/09/01 04:13:58 PM
2022,6,Berkeley,364,1,2023/09/01 04:13:58 PM
2021,10,Moraga,420,6,2023/09/01 04:13:58 PM
2023,5,Hillsborough,69,2,2023/09/01 04:13:58 PM
2021,8,Alameda,362,2,2023/09/01 04:13:58 PM
2019,8,Moss Beach,12,1,2023/09/01 04:13:58 PM
2020,10,Benicia,19,2,2023/09/01 04:13:58 PM
2020,3,Hillsborough,2,2,2023/09/01 04:13:58 PM
2020,2,Penngrove,33,1,2023/09/01 04:13:58 PM
2020,7,Lafayette,52,2,2023/09/01 04:13:58 PM
2020,6,Hillsborough,14,1,2023/09/01 04:13:58 PM
2023,5,Union City,486,1,2023/09/01 04:13:58 PM
2023,6,Moraga,110,2,2023/09/01 04:13:58 PM
2022,6,El Granada,"1,152",1,2023/09/01 04:13:58 PM
2022,12,Boulder Creek,7,2,2023/09/01 04:13:58 PM
2020,10,Cupertino,22,1,2023/09/01 04:13:58 PM
2020,3,Brookdale,1,1,2023/09/01 04:13:58 PM
2019,12,Castro Valley,1,1,2023/09/01 04:13:58 PM
2020,1,Montara,143,2,2023/09/01 04:13:58 PM
2021,10,Fremont,339,1,2023/09/01 04:13:58 PM
2021,10,Boulder Creek,63,2,2023/09/01 04:13:58 PM
2022,1,Montara,165,1,2023/09/01 04:13:58 PM
2022,8,El Granada,"1,111",1,2023/09/01 04:13:58 PM
2022,11,Union City,322,1,2023/09/01 04:13:58 PM
2021,12,Orinda,66,1,2023/09/01 04:13:58 PM
2022,11,El Granada,842,1,2023/09/01 04:13:58 PM
2022,9,Belmont,2,2,2023/09/01 04:13:58 PM
2019,9,Montara,269,2,2023/09/01 04:13:58 PM
2019,9,Brookdale,6,1,2023/09/01 04:13:58 PM
2019,11,Belmont,252,4,2023/09/01 04:13:58 PM
2021,2,Ben Lomond,5,2,2023/09/01 04:13:58 PM
2019,10,Carmel Valley,5,2,2023/09/01 04:13:58 PM
2019,8,El Granada,628,1,2023/09/01 04:13:58 PM
2021,6,Carmel Valley,1,1,2023/09/01 04:13:58 PM
2020,7,Saratoga,143,1,2023/09/01 04:13:58 PM
2022,3,Montara,699,1,2023/09/01 04:13:58 PM
2022,2,El Granada,762,1,2023/09/01 04:13:58 PM
2022,8,Berkeley,622,1,2023/09/01 04:13:58 PM
2022,2,Montara,211,1,2023/09/01 04:13:58 PM
2021,2,Alameda,14,1,2023/09/01 04:13:58 PM
2021,7,Carmel Valley,52,1,2023/09/01 04:13:58 PM
2020,8,Watsonville,119,1,2023/09/01 04:13:58 PM
2021,12,East Palo Alto,46,1,2023/09/01 04:13:58 PM
2022,1,Orinda,6,1,2023/09/01 04:13:58 PM
2022,7,Alameda,13,2,2023/09/01 04:13:58 PM
2019,8,San Jose,3,1,2023/09/01 04:13:58 PM
2023,1,Berkeley,699,1,2023/09/01 04:13:58 PM
2022,2,San Jose,1,1,2023/09/01 04:13:58 PM
2022,8,Orinda,4,1,2023/09/01 04:13:58 PM
2020,9,Watsonville,116,1,2023/09/01 04:13:58 PM
2020,9,Fremont,3,1,2023/09/01 04:13:58 PM
2023,1,Aptos,6,1,2023/09/01 04:13:58 PM
2023,5,Ben Lomond,6,1,2023/09/01 04:13:58 PM
2022,4,Ben Lomond,6,1,2023/09/01 04:13:58 PM
2022,6,Union City,628,1,2023/09/01 04:13:58 PM
2021,12,San Jose,7,1,2023/09/01 04:13:58 PM
2023,2,Hillsborough,74,1,2023/09/01 04:13:58 PM
2022,12,Castro Valley,25,1,2023/09/01 04:13:58 PM
2021,7,Fremont,197,1,2023/09/01 04:13:58 PM
2020,2,Hayward,129,1,2023/09/01 04:13:58 PM
2020,5,Penngrove,14,1,2023/09/01 04:13:58 PM
2020,9,Alameda,57,1,2023/09/01 04:13:58 PM
2021,1,Belmont,181,1,2023/09/01 04:13:58 PM
2020,2,Danville,2,1,2023/09/01 04:13:58 PM
2020,5,Alameda,406,2,2023/09/01 04:13:58 PM
2023,4,Cupertino,70,1,2023/09/01 04:13:58 PM
2023,5,Watsonville,69,1,2023/09/01 04:13:58 PM
2021,10,Montara,953,1,2023/09/01 04:13:58 PM
2022,7,Castro Valley,11,1,2023/09/01 04:13:58 PM
2019,10,Half Moon,2,2,2023/09/01 04:13:58 PM
2019,10,Los Altos,"11,998",110,2023/09/01 04:13:58 PM
2019,9,Woodside,"2,249",9,2023/09/01 04:13:58 PM
2019,9,Moraga,356,4,2023/09/01 04:13:58 PM
2019,11,Brisbane,"1,166",18,2023/09/01 04:13:58 PM
2019,8,Boulder Creek,248,10,2023/09/01 04:13:58 PM
2020,10,Los Altos,"8,570",78,2023/09/01 04:13:58 PM
2019,10,San Mateo,885,13,2023/09/01 04:13:58 PM
2019,8,Scotts Valley,"13,121",66,2023/09/01 04:13:58 PM
2019,10,Hillsborough,15,3,2023/09/01 04:13:58 PM
2019,9,Redwood City,"1,784",14,2023/09/01 04:13:58 PM
2019,11,Millbrae,6,5,2023/09/01 04:13:58 PM
2019,12,Morgan Hill,27,2,2023/09/01 04:13:58 PM
2019,12,Felton,370,7,2023/09/01 04:13:58 PM
2019,11,Mountain View,"2,753",24,2023/09/01 04:13:58 PM
2019,11,Aptos,204,6,2023/09/01 04:13:58 PM
2021,4,Redwood City,"2,575",6,2023/09/01 04:13:58 PM
2021,3,Oakland,"5,201",17,2023/09/01 04:13:58 PM
2019,12,Montara,364,1,2023/09/01 04:13:58 PM
2019,8,Saratoga,387,4,2023/09/01 04:13:58 PM
2019,12,Half Moon,9,2,2023/09/01 04:13:58 PM
2020,10,Felton,110,6,2023/09/01 04:13:58 PM
2021,1,Millbrae,1,1,2023/09/01 04:13:58 PM
2020,12,Santa Cruz,"6,918",64,2023/09/01 04:13:58 PM
2021,4,Hayward,59,1,2023/09/01 04:13:58 PM
2021,4,Los Altos Hills,"1,224",21,2023/09/01 04:13:58 PM
2021,5,Cupertino,168,2,2023/09/01 04:13:58 PM
2021,5,Palo Alto,"26,765",134,2023/09/01 04:13:58 PM
2021,8,Millbrae,5,5,2023/09/01 04:13:58 PM
2020,3,Stanford,867,3,2023/09/01 04:13:58 PM
2020,3,Mountain View,"4,187",27,2023/09/01 04:13:58 PM
2020,4,Mountain View,"1,770",18,2023/09/01 04:13:58 PM
2020,5,Atherton,298,4,2023/09/01 04:13:58 PM
2020,6,Penngrove,7,1,2023/09/01 04:13:58 PM
2020,8,Brisbane,369,11,2023/09/01 04:13:58 PM
2020,9,Berkeley,837,6,2023/09/01 04:13:58 PM
2020,1,Los Gatos,"12,011",91,2023/09/01 04:13:58 PM
2020,1,Millbrae,147,6,2023/09/01 04:13:58 PM
2023,3,El Granada,594,1,2023/09/01 04:13:58 PM
2023,1,Portola Valley,"17,043",20,2023/09/01 04:13:58 PM
2023,6,Santa Cruz,"9,207",44,2023/09/01 04:13:58 PM
2023,6,Redwood City,368,5,2023/09/01 04:13:58 PM
2022,4,South San Francisco,"1,272",17,2023/09/01 04:13:58 PM
2022,6,Brisbane,304,18,2023/09/01 04:13:58 PM
2022,1,Millbrae,32,5,2023/09/01 04:13:58 PM
2020,4,Felton,259,7,2023/09/01 04:13:58 PM
2020,7,Daly City,503,5,2023/09/01 04:13:58 PM
2020,11,Palo Alto,"19,244",122,2023/09/01 04:13:58 PM
2020,11,Richmond,"1,854",4,2023/09/01 04:13:58 PM
2023,4,Woodside,"1,369",6,2023/09/01 04:13:58 PM
2021,8,Foster City,78,9,2023/09/01 04:13:58 PM
2022,7,Menlo Park,"1,511",12,2023/09/01 04:13:58 PM
2022,8,Scotts Valley,"5,539",29,2023/09/01 04:13:58 PM
2022,8,Santa Cruz,"11,090",63,2023/09/01 04:13:58 PM
2022,10,Santa Cruz,"10,087",52,2023/09/01 04:13:58 PM
2023,3,Oakland,"2,876",8,2023/09/01 04:13:58 PM
2022,4,Richmond,232,4,2023/09/01 04:13:58 PM
2019,10,Millbrae,16,7,2023/09/01 04:13:58 PM
2021,2,Scotts Valley,"3,142",39,2023/09/01 04:13:58 PM
2021,4,San Mateo,599,7,2023/09/01 04:13:58 PM
2021,8,Menlo Park,"1,379",10,2023/09/01 04:13:58 PM
2019,10,San Carlos,65,2,2023/09/01 04:13:58 PM
2019,11,Foster City,269,8,2023/09/01 04:13:58 PM
2019,11,Boulder Creek,91,9,2023/09/01 04:13:58 PM
2020,10,Berkeley,556,5,2023/09/01 04:13:58 PM
2021,2,San Francisco,"2,398",15,2023/09/01 04:13:58 PM
2021,1,Alameda,94,2,2023/09/01 04:13:58 PM
2020,12,Los Altos Hills,"1,687",19,2023/09/01 04:13:58 PM
2020,12,Los Gatos,"4,980",47,2023/09/01 04:13:58 PM
2020,12,Soquel,"3,906",41,2023/09/01 04:13:58 PM
2021,4,Woodside,"1,177",5,2023/09/01 04:13:58 PM
2021,5,Soquel,"4,686",35,2023/09/01 04:13:58 PM
2020,3,San Mateo,"1,273",9,2023/09/01 04:13:58 PM
2020,3,Ben Lomond,71,4,2023/09/01 04:13:58 PM
2020,3,Morgan Hill,7,2,2023/09/01 04:13:58 PM
2020,4,Portola Valley,"17,057",26,2023/09/01 04:13:58 PM
2020,8,Scotts Valley,"3,924",51,2023/09/01 04:13:58 PM
2023,1,South San Francisco,55,19,2023/09/01 04:13:58 PM
2023,6,Berkeley,923,2,2023/09/01 04:13:58 PM
2022,4,Soquel,"6,545",37,2023/09/01 04:13:58 PM
2021,8,San Mateo,"1,471",11,2023/09/01 04:13:58 PM
2022,7,Orinda,17,1,2023/09/01 04:13:58 PM
2021,7,Daly City,"1,189",9,2023/09/01 04:13:58 PM
2020,2,Soquel,"7,833",59,2023/09/01 04:13:58 PM
2020,4,Menlo Park,"1,112",20,2023/09/01 04:13:58 PM
2020,4,Richmond,"1,251",4,2023/09/01 04:13:58 PM
2020,6,Los Altos,"8,063",95,2023/09/01 04:13:58 PM
2020,8,Berkeley,"1,577",5,2023/09/01 04:13:58 PM
2020,8,Stanford,533,3,2023/09/01 04:13:58 PM
2020,9,Emerald Hills,"2,518",8,2023/09/01 04:13:58 PM
2020,1,Berkeley,"1,828",9,2023/09/01 04:13:58 PM
2023,3,Mountain View,"3,167",14,2023/09/01 04:13:58 PM
2023,4,South San Francisco,268,21,2023/09/01 04:13:58 PM
2022,3,Los Altos,"10,329",64,2023/09/01 04:13:58 PM
2022,3,Palo Alto,"24,815",108,2023/09/01 04:13:58 PM
2022,5,Emerald Hills,780,5,2023/09/01 04:13:58 PM
2022,5,Ben Lomond,5,2,2023/09/01 04:13:58 PM
2021,10,Oakland,"4,020",16,2023/09/01 04:13:58 PM
2021,12,Berkeley,470,2,2023/09/01 04:13:58 PM
2021,11,Pacifica,"1,012",14,2023/09/01 04:13:58 PM
2022,1,South San Francisco,212,9,2023/09/01 04:13:58 PM
2022,1,Capitola,100,6,2023/09/01 04:13:58 PM
2022,8,Hillsborough,25,3,2023/09/01 04:13:58 PM
2022,2,Menlo Park,"1,701",12,2023/09/01 04:13:58 PM
2022,2,Aptos,21,3,2023/09/01 04:13:58 PM
2022,10,Oakland,"3,356",10,2023/09/01 04:13:58 PM
2022,11,Scotts Valley,"3,864",25,2023/09/01 04:13:58 PM
2022,11,Foster City,79,6,2023/09/01 04:13:58 PM
2022,11,Los Altos Hills,"1,159",11,2023/09/01 04:13:58 PM
2021,5,Pacifica,468,16,2023/09/01 04:13:58 PM
2021,11,East Palo Alto,30,1,2023/09/01 04:13:58 PM
2021,10,Pacifica,"1,159",17,2023/09/01 04:13:58 PM
2021,11,Moraga,356,5,2023/09/01 04:13:58 PM
2022,7,San Mateo,"1,171",9,2023/09/01 04:13:58 PM
2022,10,Hillsborough,85,2,2023/09/01 04:13:58 PM
2022,10,Saratoga,3,1,2023/09/01 04:13:58 PM
2022,10,Aptos,16,2,2023/09/01 04:13:58 PM
2022,6,Richmond,225,2,2023/09/01 04:13:58 PM
2021,2,Palo Alto,"18,325",123,2023/09/01 04:13:58 PM
2021,7,Montara,287,1,2023/09/01 04:13:58 PM
2021,7,Hillsborough,6,4,2023/09/01 04:13:58 PM
2020,7,Alameda,1,1,2023/09/01 04:13:58 PM
2020,1,Foster City,"1,092",12,2023/09/01 04:13:58 PM
2022,2,Pacifica,769,12,2023/09/01 04:13:58 PM
2021,5,Portola Valley,"18,636",23,2023/09/01 04:13:58 PM
2020,1,Atherton,"1,302",6,2023/09/01 04:13:58 PM
2020,1,Carmel Valley,3,2,2023/09/01 04:13:58 PM
2020,1,Richmond,"3,354",5,2023/09/01 04:13:58 PM
2023,3,Soquel,"3,117",22,2023/09/01 04:13:58 PM
2023,5,Mountain View,"2,850",19,2023/09/01 04:13:58 PM
2022,3,Santa Cruz,"12,453",70,2023/09/01 04:13:58 PM
2022,4,Los Gatos,"7,546",45,2023/09/01 04:13:58 PM
2021,9,Pacifica,888,18,2023/09/01 04:13:58 PM
2021,11,Los Altos Hills,"1,445",13,2023/09/01 04:13:58 PM
2021,12,Scotts Valley,"5,620",35,2023/09/01 04:13:58 PM
2022,7,Palo Alto,"27,104",120,2023/09/01 04:13:58 PM
2022,7,Woodside,"1,634",6,2023/09/01 04:13:58 PM
2023,3,Los Altos,"9,084",51,2023/09/01 04:13:58 PM
2023,6,Los Altos,"8,966",50,2023/09/01 04:13:58 PM
2021,11,Belmont,30,4,2023/09/01 04:13:58 PM
2022,9,Millbrae,21,4,2023/09/01 04:13:58 PM
2022,11,Watsonville,85,1,2023/09/01 04:13:58 PM
2021,3,Scotts Valley,"4,533",42,2023/09/01 04:13:58 PM
2021,4,Palo Alto,"22,614",131,2023/09/01 04:13:58 PM
2020,4,San Mateo,348,10,2023/09/01 04:13:58 PM
2023,2,Redwood City,415,7,2023/09/01 04:13:58 PM
2022,5,Los Altos Hills,"1,614",11,2023/09/01 04:13:58 PM
2021,11,Castro Valley,18,1,2023/09/01 04:13:58 PM
2023,3,Los Gatos,"3,265",28,2023/09/01 04:13:58 PM
2022,6,Sunnyvale,50,4,2023/09/01 04:13:58 PM
2019,8,Daly City,"1,164",8,2023/09/01 04:13:58 PM
2019,11,Emerald Hills,"3,720",6,2023/09/01 04:13:58 PM
2019,10,Woodside,"2,396",9,2023/09/01 04:13:58 PM
2021,6,San Bruno,882,5,2023/09/01 04:13:58 PM
2020,11,Capitola,414,10,2023/09/01 04:13:58 PM
2019,8,Fremont,218,1,2023/09/01 04:13:58 PM
2019,12,Fremont,309,1,2023/09/01 04:13:58 PM
2019,12,San Carlos,34,1,2023/09/01 04:13:58 PM
2019,11,Sunol,3,1,2023/09/01 04:13:58 PM
2020,10,Belmont,116,3,2023/09/01 04:13:58 PM
2021,4,El Granada,565,1,2023/09/01 04:13:58 PM
2021,6,Saratoga,143,1,2023/09/01 04:13:58 PM
2020,2,Bonny Doon,23,2,2023/09/01 04:13:58 PM
2020,5,Orinda,21,2,2023/09/01 04:13:58 PM
2020,7,Boulder Creek,9,3,2023/09/01 04:13:58 PM
2020,7,Menlo Park,"1,289",22,2023/09/01 04:13:58 PM
2020,1,Alameda,3,2,2023/09/01 04:13:58 PM
2023,5,Lafayette,10,1,2023/09/01 04:13:58 PM
2023,6,Castro Valley,25,1,2023/09/01 04:13:58 PM
2022,3,Cupertino,274,1,2023/09/01 04:13:58 PM
2021,9,San Bruno,982,10,2023/09/01 04:13:58 PM
2021,10,Orinda,70,1,2023/09/01 04:13:58 PM
2022,6,Pacifica,845,20,2023/09/01 04:13:58 PM
2022,5,Boulder Creek,10,2,2023/09/01 04:13:58 PM
2019,11,Richmond,"3,522",5,2023/09/01 04:13:58 PM
2021,1,Emerald Hills,"1,213",5,2023/09/01 04:13:58 PM
2021,7,Moraga,380,5,2023/09/01 04:13:58 PM
2021,8,Cupertino,323,1,2023/09/01 04:13:58 PM
2020,7,Hayward,156,1,2023/09/01 04:13:58 PM
2020,8,Felton,349,7,2023/09/01 04:13:58 PM
2020,9,Belmont,93,1,2023/09/01 04:13:58 PM
2020,9,Montara,10,1,2023/09/01 04:13:58 PM
2020,11,Menlo Park,850,12,2023/09/01 04:13:58 PM
2020,1,Bonny Doon,36,2,2023/09/01 04:13:58 PM
2020,1,Boulder Creek,89,8,2023/09/01 04:13:58 PM
2023,3,Berkeley,764,2,2023/09/01 04:13:58 PM
2023,4,Brisbane,386,14,2023/09/01 04:13:58 PM
2023,4,Ben Lomond,13,2,2023/09/01 04:13:58 PM
2023,4,San Mateo,127,9,2023/09/01 04:13:58 PM
2023,6,Scotts Valley,"4,216",26,2023/09/01 04:13:58 PM
2022,6,Felton,173,3,2023/09/01 04:13:58 PM
2021,12,Richmond,717,2,2023/09/01 04:13:58 PM
2021,12,Lafayette,22,1,2023/09/01 04:13:58 PM
2022,1,El Granada,604,1,2023/09/01 04:13:58 PM
2022,1,San Mateo,980,9,2023/09/01 04:13:58 PM
2022,2,Los Altos Hills,937,11,2023/09/01 04:13:58 PM
2022,7,Daly City,"1,809",7,2023/09/01 04:13:58 PM
2022,2,Belmont,2,2,2023/09/01 04:13:58 PM
2022,11,Ben Lomond,5,1,2023/09/01 04:13:58 PM
2023,4,Montara,680,1,2023/09/01 04:13:58 PM
2022,2,Woodside,"1,247",7,2023/09/01 04:13:58 PM
2022,7,South San Francisco,"7,660",7,2023/09/01 04:13:58 PM
2022,7,Sunnyvale,37,3,2023/09/01 04:13:58 PM
2019,11,Alameda,2,2,2023/09/01 04:13:58 PM
2019,10,Piedmont,2,1,2023/09/01 04:13:58 PM
2019,9,Atherton,639,5,2023/09/01 04:13:58 PM
2019,11,Ben Lomond,12,3,2023/09/01 04:13:58 PM
2021,2,Berkeley,625,5,2023/09/01 04:13:58 PM
2021,1,Hillsborough,1,1,2023/09/01 04:13:58 PM
2021,6,La Honda,14,1,2023/09/01 04:13:58 PM
2021,7,Half Moon,24,2,2023/09/01 04:13:58 PM
2020,8,Castro Valley,10,2,2023/09/01 04:13:58 PM
2020,9,Carmel Valley,2,1,2023/09/01 04:13:58 PM
2023,3,Atherton,45,3,2023/09/01 04:13:58 PM
2023,4,Sunnyvale,583,2,2023/09/01 04:13:58 PM
2022,8,Ben Lomond,5,1,2023/09/01 04:13:58 PM
2021,7,Belmont,289,2,2023/09/01 04:13:58 PM
2020,5,Capitola,481,13,2023/09/01 04:13:58 PM
2023,1,Millbrae,27,3,2023/09/01 04:13:58 PM
2022,3,Berkeley,341,1,2023/09/01 04:13:58 PM
2022,4,Lafayette,1,1,2023/09/01 04:13:58 PM
2022,6,Millbrae,12,5,2023/09/01 04:13:58 PM
2021,11,Woodside,"1,533",7,2023/09/01 04:13:58 PM
2022,6,Capitola,79,6,2023/09/01 04:13:58 PM
2022,9,Emerald Hills,"1,149",6,2023/09/01 04:13:58 PM
2020,7,Berkeley,"1,067",4,2023/09/01 04:13:58 PM
2022,4,Montara,744,1,2023/09/01 04:13:58 PM
2022,5,Watsonville,101,1,2023/09/01 04:13:58 PM
